Merged_Location,lon,lat
"Marmion St Fresh & Gourmet,
			344 Marmion Street, Melville, Western Australia",115.7999067,-32.0433391
"Puma Munster,
			512 Rockingham Road, Munster, Western Australia",115.7841195,-32.1225649
"BWS Spearwood,
			333 Rockingham Road, Spearwood, Western Australia",115.7822935,-32.1048969
"IKEA,
			6 Sunray Drive, Ellen Stirling Blvd, Innaloo, Western Australia",115.8038253,-31.8967936
"Forrest Chase night markets,
			200-204 Murray Street, Perth, Western Australia",115.8592142,-31.9525996
"Enex 100 restrooms,
			100 St George's Terrace, Perth, Western Australia",115.858278,-31.9540637
"Wattle Grove Motel
			610 Welshpool Rd East, Wattle Grove, Western Australia",115.9894104,-32.0055351
"Subway Merredin
			80 Barrack Street, Merredin, Western Australia",118.2780828,-31.4818687
"BP Truckstop Balladonia
			Eyre Highway, Balladonia, Western Australia",123.6170029,-32.352304
"BGC Fibre Warehouse and Distribution
			13 Magnet Road, Canning Vale, Western Australia",115.923116,-32.0586546
"Guzman y Gomez Belmont
			Belmont Forum Shopping Centre, 227 Belmont Ave, Cloverdale, Western Australia",115.9345029,-31.9664454
"Big W Belmont
			Belmont Forum Shopping Centre, 227 Belmont Ave, Cloverdale, Western Australia",115.9364943,-31.9647723
"Sagitta CrossFit Fitness
			Unit 7/5 Milford St, East Victoria Park, East Victoria Park, Western Australia",115.9150975,-31.9908592
"Curtin Connect,
			Building 102, Curtin University Bentley Campus, Kent Street, Bentley, Western Australia",115.8935915,-32.0049953
"Beauty Escape – Bassendean Shopping Centre
			63 Old Perth Road, Bassendean, Western Australia",115.9508411,-31.9051155
"Campbells Wholesale Store,
			Baile Road, Canning Vale, Western Australia",115.9033858,-32.0679487
"IGA Canning Bridge,
			916 Canning Highway, Applecross, Western Australia",115.8504578,-32.0115447
"New U Massage
			771 Beaufort St, Mount Lawley, Western Australia",115.8785847,-31.9272001
"Apple Perth City,
			790 Hay Street, Perth, Western Australia",115.855729,-31.9528892
"ToastFace Grillah,
			Wolf Lane, Shop 7, 329 Murray Street, Perth, Western Australia",115.8556766,-31.9523481
"Curtin University Bentley Campus – B103 Library
			Kent St, Bentley, Western Australia",115.8943677,-32.0054489
"CPP Carpark (His Majesty's),
			377 Murray Street, Perth, Western Australia",115.8546027,-31.9515891
"Priceline Pharmacy
			Kwinana Marketplace Shopping Centre, 4 Chisham Ave, Kwinana, Western Australia",115.8141961,-32.2459689
"Woolworths Mundaring
			Mundaring Shopping Centre Cnr Mann St and Great Eastern Hwy, Mundaring, Western Australia",116.1644537,-31.901268
"RAC Karri Valley Resort
			11342 Vasse Highway, Beedelup, Western Australia",115.850881,-34.4205734
"RAC Karri Valley Resort, Lakeside Restaurant
			11342 Vasse Highway, Beedelup, Western Australia",115.850881,-34.4205734
"Mammoth Cave
			Caves Rd, Forest Grove, Western Australia",115.0296771,-34.060037
"Margaret River Visitors Centre 
			100 Bussell Hwy, Margaret River, Western Australia",115.0738992,-33.9490426
"IGA Margaret River
			110 Bussell Hwy, Margaret River, Western Australia",115.0740423,-33.9493111
"Coles Margaret River
			132 Bussell Hwy, Margaret River, Western Australia",115.0728347,-33.9515064
"Awesome Warehouse 
			489 Nicholson Rd, Canning Vale, Western Australia",115.9341463,-32.0651682
"Midland Gate Shopping Centre
			274 Great Eastern Hwy, Midland, Western Australia",116.0094689,-31.8895648
"Just Jeans, Midland Gate Shopping Centre
			274 Great Eastern Hwy, Midland, Western Australia",116.009767,-31.8893829
"Priceline Pharmacy, Midland Gate Shopping Centre
			274 Great Eastern Hwy, Midland, Western Australia",116.0077825,-31.8896967
"Suzanne Grae, Midland Gate Shopping Centre
			274 Great Eastern Hwy, Midland, Western Australia",116.0086542,-31.8896585
"Betts, Midland Gate Shopping Centre
			274 Great Eastern Hwy, Midland, Western Australia",116.0103943,-31.8898252
"Portmans, Midland Gate Shopping Centre
			274 Great Eastern Hwy, Midland, Western Australia",116.0095779,-31.8893816
"Amcal Chemist Mundaring 
			4/5 Nichol St, Mundaring, Western Australia",116.1659657,-31.9008065
"Kmart Cannington
			1382 Albany Hwy, Cannington, Western Australia",115.9394614,-32.0204259
"Booragoon Garden City Shopping Centre
			125 Riseley St, Booragoon, Western Australia",115.8366491,-32.0340621
"Kmart, Garden City Shopping Centre
			125 Riseley St, Booragoon, Western Australia",115.8372142,-32.0332722
"MECCA, Garden City Shopping Centre
			125 Riseley St, Booragoon, Western Australia",115.836178,-32.034119
"David Jones, Garden City Shopping Centre
			125 Riseley St, Booragoon, Western Australia",115.835836,-32.0348375
"Villains, Garden City Shopping Centre
			125 Riseley St, Booragoon, Western Australia",115.8362404,-32.0337908
"Witchery, Garden City Shopping Centre
			125 Riseley St, Booragoon, Western Australia",115.8369908,-32.0345055
"Bakers Delight
			Gladstone Rd & Marlboro Avenue, Swan View, Western Australia",116.047537995381,-31.885066103198
"Chemist Warehouse
			Tenancy 12A/7 Clayton St, Midland WA 6056, Midland, Western Australia",116.0163978,-31.8970303
"Supa IGA Northbridge
			150 Newcastle St, Northbridge, Western Australia",115.8638204,-31.9471339
"Coles 
			Gladstone Rd & Marlboro Avenue, Swan View, Western Australia",116.046765967395,-31.8880498303858
"U Natural Spa Therapy
			894 Canning Highway, Applecross, Western Australia",115.8480382,-32.0130616
"Comfort Massage
			83A Main St, Osborne Park, Western Australia",115.827891,-31.906781
